run_id=B-determinism-embedding-openai-large-0823-211529-7718f5
{"text": "code:admin.go", "exact_equal_rate": 0.675, "max_cosine_distance": 4e-06, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "code:admin_test.go", "exact_equal_rate": 0.766667, "max_cosine_distance": 2e-06, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "code:caddy.go", "exact_equal_rate": 1.0, "max_cosine_distance": 0.0, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "code:caddy_test.go", "exact_equal_rate": 0.875, "max_cosine_distance": 1.5e-05, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "code:caddyconfig/caddyfile/adapter.go", "exact_equal_rate": 1.0, "max_cosine_distance": 0.0, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "code:caddyconfig/caddyfile/dispenser.go", "exact_equal_rate": 0.758333, "max_cosine_distance": 7.9e-05, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "code:caddyconfig/caddyfile/dispenser_test.go", "exact_equal_rate": 1.0, "max_cosine_distance": 0.0, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "code:caddyconfig/caddyfile/formatter.go", "exact_equal_rate": 0.766667, "max_cosine_distance": 5.1e-05, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "short", "exact_equal_rate": 1.0, "max_cosine_distance": 0.0, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "prose", "exact_equal_rate": 0.766667, "max_cosine_distance": 0.0, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "query-json", "exact_equal_rate": 0.55, "max_cosine_distance": 1e-06, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"text": "unicode", "exact_equal_rate": 0.766667, "max_cosine_distance": 1e-06, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0}
{"provider": "openai-large", "exact_equal_rate": 0.827083, "max_cosine_distance": 7.9e-05, "top10_jaccard_mean": 1.0, "top10_identical_rate": 1.0, "dim": 3072}
